year,type,fishery,gear,units,category,catch
1966,discard,crab fisheries,pot,million lbs,legal,
1967,discard,crab fisheries,pot,million lbs,legal,
1968,discard,crab fisheries,pot,million lbs,legal,
1969,discard,crab fisheries,pot,million lbs,legal,
1970,discard,crab fisheries,pot,million lbs,legal,
1971,discard,crab fisheries,pot,million lbs,legal,
1972,discard,crab fisheries,pot,million lbs,legal,
1973,discard,crab fisheries,pot,million lbs,legal,
1974,discard,crab fisheries,pot,million lbs,legal,
1975,discard,crab fisheries,pot,million lbs,legal,
1976,discard,crab fisheries,pot,million lbs,legal,
1977,discard,crab fisheries,pot,million lbs,legal,
1978,discard,crab fisheries,pot,million lbs,legal,
1979,discard,crab fisheries,pot,million lbs,legal,
1980,discard,crab fisheries,pot,million lbs,legal,
1981,discard,crab fisheries,pot,million lbs,legal,
1982,discard,crab fisheries,pot,million lbs,legal,
1983,discard,crab fisheries,pot,million lbs,legal,
1984,discard,crab fisheries,pot,million lbs,legal,
1985,discard,crab fisheries,pot,million lbs,legal,
1986,discard,crab fisheries,pot,million lbs,legal,
1987,discard,crab fisheries,pot,million lbs,legal,
1988,discard,crab fisheries,pot,million lbs,legal,
1989,discard,crab fisheries,pot,million lbs,legal,
1990,discard,crab fisheries,pot,million lbs,legal,
1991,discard,crab fisheries,pot,million lbs,legal,
1992,discard,crab fisheries,pot,million lbs,legal,
1993,discard,crab fisheries,pot,million lbs,legal,
1994,discard,crab fisheries,pot,million lbs,legal,
1995,discard,crab fisheries,pot,million lbs,legal,
1996,discard,crab fisheries,pot,million lbs,legal,0
1997,discard,crab fisheries,pot,million lbs,legal,0
1998,discard,crab fisheries,pot,million lbs,legal,0.00506
1999,discard,crab fisheries,pot,million lbs,legal,0.0077
2000,discard,crab fisheries,pot,million lbs,legal,0
2001,discard,crab fisheries,pot,million lbs,legal,0
2002,discard,crab fisheries,pot,million lbs,legal,0
2003,discard,crab fisheries,pot,million lbs,legal,0
